Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Effeciency [GFlops/Watts],Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent,Site ID,System ID
58,45.0,45,20,SuperMUC Phase 2,"NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR14",Leibniz Rechenzentrum,Lenovo/IBM,Germany,2015,Academic,86016,,2813.62,3578.266,4423680.0,,,1480.83,Submitted,1.9,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,14,Intel Xeon E5 (Haswell),IBM NeXtScale nx360M5,NeXtScale,Infiniband,Infiniband FDR14,Western Europe,Europe,48248,178544
62,48.0,42,11,TSUBAME 2.5,"Cluster Platform SL390s G7, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA K20x","GSIC Center, Tokyo Institute of Technology",NEC/HPE,Japan,2013,Academic,76032,59136.0,2785.0,5735.68512,1700000.0,,72.525,1398.61,Submitted,1.991,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,SUSE Linux Enterprise Server 11,Linux,NVIDIA Tesla K20x,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Eastern Asia,Asia,47912,178249
70,54.0,49,50,occigen2,"bullx DLC 720, Xeon E5-2690v4 14C 2.6GHz, Infiniband FDR",Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),Bull,France,2016,Academic,85824,,2494.65,3570.278,3889152.0,,45.475,1430.0,Submitted,1.745,Cluster,Xeon E5-2690v4 14C 2.6GHz,Intel Broadwell,2600,bullx SCS,Linux,None,14,Intel Xeon E5 (Broadwell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe,50203,179092
72,63.0,43,129,Lomonosov 2,"T-Platform A-Class Cluster, Xeon E5-2697v3 14C 2.6GHz,Intel Xeon Gold 6126, Infiniband FDR, Nvidia K40m/P-100",Moscow State University - Research Computing Center,T-Platforms,Russia,2014,Academic,64384,40960.0,2478.0,4946.79,1462272.0,,,,,,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,Linux,Linux,NVIDIA Tesla K40m,14,Intel Xeon E5 (Haswell),T-Platforms A-Class Cluster,T-Platforms Cluster,Infiniband,Infiniband FDR,Eastern Europe,Europe,50104,178444
83,,51,83,ATERUI II ,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ",National Astronomical Observatory of Japan,Cray Inc.,Japan,2018,Academic,40000,,2089.98,3072.0,4915200.0,,,495.86,Submitted,4.215,MPP,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Cray Linux Environment ,Linux,None,20,Xeon Gold,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Asia,Asia,50097,179419
87,65.0,48,265,Mogon II,"NEC Cluster, Xeon Gold 6130 16C 2.1GHz, MEGWARE MiriQuid Xeon E5-2630v4, Intel Omni-Path",Universitaet Mainz,NEC/MEGWARE,Germany,2017,Academic,49432,,1967.81,2800.86998,3179520.0,888000.0,,657.0,Submitted,2.995,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,Linux,None,16,Xeon Gold,NEC Cluster,NEC Cluster,Omnipath,Intel Omni-Path,Western Europe,Europe,49102,178930
92,69.0,44,32,Beskow,"Cray XC40, Xeon E5-2695v4/E5-2698v3 16C 2.3GHz, Aries interconnect ",KTH - Royal Institute of Technology,Cray Inc.,Sweden,2017,Academic,67456,,1802.51,2438.14,3932160.0,,,842.0,Derived,2.141,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe,48188,178448
98,72.0,47,46,Marconi Intel Xeon,"Lenovo NeXtScale nx360M5, Xeon E5-2697v4 18C 2.3GHz, Omni-Path",CINECA,Lenovo,Italy,2016,Academic,54432,,1723.89,2003.098,4320000.0,,,1360.8,Derived,1.267,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,2300,Linux,Linux,None,18,Intel Xeon E5 (Broadwell),Lenovo NeXtScale nx360 M5,Lenovo NeXtScale,Omnipath,Intel Omni-Path,Southern Europe,Europe,47495,178755
101,75.0,50,75,Peta4,"Dell C6420, Xeon Gold 6142 16C 2.6GHz, Intel Omni-Path",University of Cambridge,Dell EMC,United Kingdom,2017,Academic,46464,,1696.6,2875.0,3764880.0,,,479.76,Submitted,3.536,Cluster,Xeon Gold 6142 16C 2.6GHz,Intel Skylake,2600,Scientific Linux,Linux,None,16,Xeon Gold,Dell C6420,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,Northern Europe,Europe,49143,179305
102,76.0,49,70,Raijin,"Hybrid Cluster PRIMERGY/x3550 M5/PowerEdge/Rackable/Rackable, Xeon , Infiniband EDR, NVIDIA Tesla P100, Xeon Phi",National Computational Infrastructure National Facility (NCI-NF),Fujitsu / Lenovo / Xenon,Australia,2012,Academic,87224,3984.0,1676.22,3801.424,3719424.0,,,,,,Cluster,Xeon E5-2690v4 14C 2.6GHz,Intel Broadwell,2600,CentOS,Linux,NVIDIA Tesla P100,14,Intel Xeon E5 (Broadwell),Hybrid Cluster PRIMERGY/x3550 M5/PowerEdge/Rackable,Hybrid Cluster,Infiniband,Infiniband EDR,Australia and New Zealand,Oceania,47369,179115
103,77.0,45,48,Prometheus,"HP Apollo 8000, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, NVIDIA Tesla K40",Cyfronet,HPE,Poland,2015,Academic,55728,2160.0,1670.09,2348.64,5439592.0,,39.936,807.6,Submitted,2.068,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,NVIDIA Tesla K40,12,Intel Xeon E5 (Haswell),HP Apollo 8000,HP Apollo,Infiniband,Infiniband FDR,Eastern Europe,Europe,47634,178534
139,87.0,45,39,Salomon,"SGI ICE X, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, Intel Xeon Phi 7120P","IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava",HPE,Czech Republic,2015,Academic,76896,52704.0,1457.73,2011.641,2838528.0,,,4806.0,Derived,0.303,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,CentOS,Linux,Intel Xeon Phi 7120P,12,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Eastern Europe,Europe,50561,178525
147,94.0,49,86,Cedar,"Dell C4130/Dell C6320, Xeon E5-2650v4/E5-2683-v4, Intel Omni-Path, NVIDIA Tesla P100",Simon Fraser University/Compute Canada,Dell EMC,Canada,2017,Academic,59776,32256.0,1337.0,3710.464,940800.0,472320.0,,167.0,Submitted,8.006,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,CentOS,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Broadwell),Dell C4130,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,Americas,50722,179113
163,107.0,40,118,Sisu,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",CSC (Center for Scientific Computing),Cray Inc.,Finland,2014,Academic,40608,,1250.0,1689.2928,3301440.0,,,680.0,Submitted,1.838,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe,47508,177826
165,109.0,50,109,Era-AI,"Sugon Cluster W780I, Xeon E5-2650v4 12C 2.2GHz, NVIDIA Tesla P100, Infiniband FDR","Computer Network Information Center, Chinese Academy of Science",Sugon,China,2017,Academic,22656,21504.0,1238.0,1845.3504,786000.0,,,144.0,Submitted,8.597,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,CentOS,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Broadwell),Sugon Cluster W780I,Sugon Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia,47553,179247
166,110.0,49,95,Graham,"Huawei X6800 V3, Xeon E5-2683 v4  16C 2.1GHz, Infiniband EDR/FDR, NVIDIA Tesla P100",SharcNet,Huawei,Canada,2017,Academic,51200,17920.0,1228.0,2641.408,2000320.0,,21.595,546.04,Submitted,2.249,Cluster,Xeon E5-2683 v4  16C 2.1GHz,Intel Broadwell,2100,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Huawei X6800 V3,Huawei Cluster,Infiniband,Infiniband EDR/FDR,North America,Americas,49854,179047
173,115.0,49,100,Wilkes-2,"Dell C4130, Xeon E5-2650v4 12C 2.2GHz, Infiniband EDR, NVIDIA Tesla P100",University of Cambridge,Dell EMC,United Kingdom,2017,Academic,21240,20160.0,1193.0,1751.616,849600.0,,,114.4,Submitted,10.428,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,Scientific Linux,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Broadwell),Dell C4130,Dell PowerEdge Cluster,Infiniband,Infiniband EDR,Northern Europe,Europe,49143,179044
180,121.0,45,53,Sekirei,"SGI ICE XA, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",University of Tokyo/Institute for Solid State Physics,HPE,Japan,2015,Academic,38016,,1178.3,1520.64,3194880.0,,,580.9,Submitted,2.028,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,SUSE Linux Enterprise Server 11,Linux,None,12,Intel Xeon E5 (Haswell),SGI ICE XA,SGI ICE,Infiniband,Infiniband FDR,Eastern Asia,Asia,49208,178526
218,142.0,45,58,Cartesius 2,"Bullx DLC B710/B720 Blades, Xeon E5-2695 v2 2.4GHz E5-2690v3 2.6GHz, Infiniband FDR",SURFsara,Bull,Netherlands,2015,Academic,38880,,1088.51,1327.104,3081600.0,,19.468,706.0,Submitted,1.542,Cluster,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,bullx SCS,Linux,None,12,Intel Xeon E5 (Haswell),Bullx DLC B710 Blades,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe,50498,178551
222,146.0,39,29,Turing,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",CNRS/IDRIS-GENCI,IBM,France,2012,Academic,98304,,1073.327,1258.291,,,,493.12,Submitted,2.177,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Western Europe,Europe,50403,177728
223,147.0,39,20,DiRAC,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",University of Edinburgh,IBM,United Kingdom,2012,Academic,98304,,1073.327,1258.291,,,,493.12,Submitted,2.177,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Northern Europe,Europe,49151,177724
232,152.0,44,46,QB-2,"Dell C8220X Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x",Louisiana Optical Network Initiative,Dell EMC,United States,2014,Academic,23040,13440.0,1052.0,1473.6,1799168.0,,,500.0,Submitted,2.104,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Redhat Enterprise Linux 6.4,Linux,NVIDIA Tesla K20x,10,Intel Xeon E5 (IvyBridge),Dell C8220X Cluster,Dell PowerEdge Cluster,Infiniband,Infiniband FDR,North America,Americas,49926,178467
243,162.0,48,106,TX-Green,"S7200AP Cluster, Intel Xeon Phi 7210 64C 1.3GHz, Intel Omni-Path",MIT/Lincoln Laboratory,Dell EMC,United States,2016,Academic,41472,,1032.82,1725.235,3943968.0,,,,,,Cluster,Intel Xeon Phi 7210 64C 1.3GHz,Intel Xeon Phi,1300,CentOS,Linux,None,64,Intel Xeon Phi,Intel S7200AP Cluster,Intel Cluster,Omnipath,Intel Omni-Path,North America,Americas,48296,178939
245,164.0,45,65,Taurus,"bullx DLC 720, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR","TU Dresden, ZIH",Bull,Germany,2015,Academic,34656,,1029.94,1386.24,2772480.0,,,582.0,Submitted,1.77,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Bullx Linux,Linux,None,12,Intel Xeon E5 (Haswell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe,50565,178555
246,165.0,47,121,Lengau,"PowerEdge C6320, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR",Centre for High Performance Computing,Dell EMC,South Africa,2016,Academic,32856,,1029.32,1366.81,3105408.0,,,685.0,Submitted,1.503,Cluster,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,CentOS,Linux,None,12,Intel Xeon E5 (Haswell),PowerEdge C6320,Dell PowerEdge Cluster,Infiniband,Infiniband FDR,Southern Africa,Africa,50165,178793
249,,51,249,Romeo,"Bull Sequana X1125, Xeon Gold 6132 14C 2.6GHz, Bull BXI 1.2, NVIDIA Tesla P100 NVLink",ROMEO HPC Center - Champagne-Ardenne,Bull,France,2018,Academic,17640,15680.0,1022.0,1484.0,768000.0,,,127.0,Submitted,8.047,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,2600,RHEL,Linux,NVIDIA Tesla P100 NVLink,14,Xeon Gold,Bull Sequana X1125,Bull Sequana,Custom Interconnect,Bull BXI 1.2,Western Europe,Europe,50497,179441
254,169.0,42,36,QUARTETTO,"HA8000-tc HT210/PRIMERGY CX400 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, NVIDIA K20/K20x, Xeon Phi 5110P","Research Institute for Information Technology, Kyushu University",Hitachi/Fujitsu,Japan,2013,Academic,222072,157128.0,1018.0,1502.2362,3709056.0,,,19431.3,Derived,0.052,Cluster,Xeon E5-2680 8C 2.7GHz,Intel SandyBridge,2700,Redhat Enterprise Linux 6,Linux,"NVIDIA K20/K20x, Xeon Phi 5110P",8,Intel Xeon E5 (SandyBridge),HA8000-tc HT210/PRIMERGY CX400 Cluster,Quartetto Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia,50421,178251
255,,51,255,MareNostrum P9 CTE,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100",Barcelona Supercomputing Center,IBM,Spain,2018,Academic,19440,17280.0,1018.0,1485.527,1700352.0,,28.041,85.8,Submitted,11.865,Cluster,IBM POWER9 22C 3.1GHz,Power,3100,RHEL 7.4,Linux,NVIDIA Tesla V100,22,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,Southern Europe,Europe,49748,179442
256,170.0,46,78,Lonestar 5,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",Texas Advanced Computing Center/Univ. of Texas,Cray Inc.,United States,2015,Academic,30048,,1017.04,1249.997,3092352.0,,,586.88,Derived,1.733,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas,48958,178615
259,172.0,46,79,EAGLE,"Huawei E9000 Blade Server, Xeon E5-2697v3 14C 2.6GHz, 56G Infiniband FDR",PCSS Poznan,Huawei,Poland,2015,Academic,32984,,1013.721,1372.134,2739840.0,,8.5,549.6,Submitted,1.844,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,14,Intel Xeon E5 (Haswell),Huawei E9000 Blade Server,Huawei Cluster,Infiniband,56G Infiniband FDR,Eastern Europe,Europe,50183,178748
263,176.0,45,125,Tryton,"HP ProLiant XL230a Gen9/Huawei RH1288/SOLAR 820 S5, Xeon E5-2670v3 12C 2.3GHz, Infiniband",Academic Computer Centre in Gdansk,Megatel/Action,Poland,2015,Academic,38400,,1010.94,1413.12,3482000.0,,,864.0,Derived,1.17,Cluster,Xeon E5-2670v3 12C 2.3GHz,Intel Haswell,2300,Linux,Linux,None,12,Intel Xeon E5 (Haswell),HP ProLiant XL230a Gen9,HP Cluster,Infiniband,Infiniband,Eastern Europe,Europe,50571,178552
273,182.0,42,121,Konrad,"Cray XC40, Intel Xeon E5-2695v2/E5-2680v3 12C 2.4/2.5GHz, Aries interconnect ",HLRN at ZIB/Konrad Zuse-Zentrum Berlin,Cray Inc.,Germany,2014,Academic,44928,,991.525,1425.715,3110399.0,,,877.5,Derived,1.13,MPP,Intel Xeon E5-2695v2 12C 2.4GHz,Intel IvyBridge,2400,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe,49361,178323
282,190.0,41,28,Conte,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",Purdue University,HPE,United States,2013,Academic,77520,68400.0,976.763,1341.096,1793088.0,,,510.0,Submitted,1.915,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas,48657,178084
295,202.0,49,153,Fram,"Lenovo NeXtScale nx360M5, Xeon E5-2683 v4  16C 2.1GHz, Infiniband EDR",UNINETT Sigma2 AS,Lenovo,Norway,2017,Academic,32192,,953.571,1081.651,2540000.0,,,,,,Cluster,Xeon E5-2683 v4  16C 2.1GHz,Intel Broadwell,2100,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Lenovo NeXtScale nx360 M5,Lenovo NeXtScale,Infiniband,Infiniband EDR,Northern Europe,Europe,50713,179072
320,223.0,47,108,OKEANOS,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ","Interdisciplinary Centre for Mathematical and Computational Modelling, University of Warsaw",Cray Inc.,Poland,2016,Academic,26016,,909.614,1082.266,4070592.0,,,585.36,Derived,1.554,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Europe,Europe,49655,178753
326,227.0,37,13,Lomonosov,"T-Platforms T-Blade2/1.1, Xeon X5570/X5670/E5630 2.93/2.53 GHz, Nvidia 2070 GPU, PowerXCell 8i Infiniband QDR",Moscow State University - Research Computing Center,T-Platforms,Russia,2011,Academic,78660,29820.0,901.9,1700.21,2150399.0,,1.744,2800.0,Submitted,0.322,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2070,6,Xeon 5600-series (Westmere-EP),T-Platforms T-Blade2,T-Platforms Cluster,Infiniband,Infiniband,Eastern Europe,Europe,50104,177421
327,228.0,45,78,SERC,"Cray XC40, Xeon E5-2680v3 12C 2.5GHz, Aries interconnect ","Supercomputer Education and Research Centre (SERC), Indian Institute of Science",Cray Inc.,India,2015,Academic,31104,,901.506,1244.16,3245184.0,,,607.5,Derived,1.484,MPP,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,South-central Asia,Asia,50560,178517
330,229.0,39,102,,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",Rensselaer Polytechnic Institute,IBM,United States,2012,Academic,81920,,894.439,1048.576,,,,410.9,Submitted,2.177,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas,48688,177735
346,244.0,41,115,Palmetto2,"HP SL250s Gen8/Lenovo NX360M5, Dell C4130, Xeon E5-2665 8C 2.4GHz/E5-2670v2, Infiniband FDR, Nvidia K20m/K40/K20/P100",Clemson University,HPE,United States,2013,Academic,23452,14776.0,870.0,1550.4764,1641472.0,,,1123.5,Submitted,0.774,Cluster,Xeon E5-2665 8C 2.4GHz,Intel SandyBridge,2400,Linux,Linux,NVIDIA Tesla K20m,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas,50100,178083
354,251.0,50,251,IRIDIS,"ThinkSystem SD530, Xeon Gold 6138 20C 2GHz, Infiniband EDR",University of Southampton,Lenovo,United Kingdom,2017,Academic,20400,,864.529,1305.6,3262560.0,,,,,,Cluster,Xeon Gold 6138 20C 2GHz,Intel Skylake,2000,Linux,Linux,None,20,Xeon Gold,ThinkSystem SD530,Lenovo ThinkSystem,Infiniband,Infiniband EDR,Northern Europe,Europe,49200,179161
